ID,Name,Level,Rating,Tags,link
scp-145,Man-Absorbing Phone,Euclid,407,"['appliance', 'auditory', 'electronic']",https://scp-wiki.wikidot.com/scp-145
scp-146,Bronze Head of Shame,Euclid,104,"['cognitohazard', 'memory-affecting', 'mind-affecting', 'sculpture']",https://scp-wiki.wikidot.com/scp-146
scp-147,Anachronistic Television,Euclid,338,"['appliance', 'auditory', 'autonomous', 'cognitohazard', 'mind-affecting', 'visual']",https://scp-wiki.wikidot.com/scp-147
scp-148,"The ""Telekill"" Alloy",Euclid,648,"['artifact', 'mind-affecting', 'prometheus', 'rewrite', 'telepathic']",https://scp-wiki.wikidot.com/scp-148
scp-149,The Blood Flies,Keter,262,"['airborne', 'alive', 'featured', 'insect', 'transfiguration', 'virus']",https://scp-wiki.wikidot.com/scp-149
scp-150,Ship of Theseus,Keter,306,"['animal', 'co-authored', 'insect', 'neurological', 'parasitic', 'rewrite']",https://scp-wiki.wikidot.com/scp-150
scp-151,The Painting,Euclid,255,"['artistic', 'cognitohazard', 'liquid', 'visual']",https://scp-wiki.wikidot.com/scp-151
scp-152,Book of Endings,Safe,591,"['document', 'historical', 'indestructible', 'k-class-scenario', 'predictive']",https://scp-wiki.wikidot.com/scp-152
scp-153,Drain Worms,Euclid,147,"['alive', 'meta', 'metamorphic', 'mimetic', 'predatory', 'species', 'worm']",https://scp-wiki.wikidot.com/scp-153
scp-154,Offensive Bracelets,Euclid,276,"['intangible', 'jewelry', 'skeletal', 'transfiguration', 'weapon']",https://scp-wiki.wikidot.com/scp-154
scp-155,Infinite Speed Computer,Safe,334,"['computer', 'electronic', 'prometheus', 'radioactive', 'temporal', 'thermal']",https://scp-wiki.wikidot.com/scp-155
scp-156,Reanimating Pomegranate,Euclid,222,"['food', 'mind-affecting', 'plant', 'reanimation']",https://scp-wiki.wikidot.com/scp-156
scp-157,Mimetic Predator,Euclid,310,"['alive', 'animal', 'microscopic', 'mind-affecting', 'predatory', 'species', 'swarm', 'telepathic']",https://scp-wiki.wikidot.com/scp-157
scp-158,Soul Extractor,Euclid,397,"['ectoentropic', 'entropic', 'gaseous', 'mechanical', 'memory-affecting', 'mind-affecting']",https://scp-wiki.wikidot.com/scp-158
scp-159,The Perfect Lock,Safe,234,"['appliance', 'electrical', 'indestructible']",https://scp-wiki.wikidot.com/scp-159
